,ellipse,diameter,location,confidence,timestamp
375,"{'center': (277.4848327636719, 238.85233306884766), 'axes': (69.92144775390625, 100.7409896850586), 'angle': 0.36148774623869995}",100.7409896850586,"(277.4848327636719, 238.85233306884766)",1.0,6.25
376,"{'center': (278.92218017578125, 238.7650604248047), 'axes': (72.25070190429688, 101.20487213134766), 'angle': 0.38971981406211187}",101.20487213134766,"(278.92218017578125, 238.7650604248047)",1.0,6.266666666666667
377,"{'center': (280.3529052734375, 238.82154083251953), 'axes': (74.82656860351562, 101.6580581665039), 'angle': 0.2614668011665396}",101.6580581665039,"(280.3529052734375, 238.82154083251953)",1.0,6.283333333333333
378,"{'center': (281.8356704711914, 238.80538177490234), 'axes': (77.19377136230469, 101.89857482910156), 'angle': 0.29164451360702215}",101.89857482910156,"(281.8356704711914, 238.80538177490234)",1.0,6.3
379,"{'center': (283.39990234375, 238.80499267578125), 'axes': (79.5621566772461, 102.19672393798828), 'angle': 0.36514058709144714}",102.19672393798828,"(283.39990234375, 238.80499267578125)",1.0,6.316666666666666
380,"{'center': (284.9521789550781, 238.81453704833984), 'axes': (81.7936782836914, 102.36936950683594), 'angle': 0.24669373035431225}",102.36936950683594,"(284.9521789550781, 238.81453704833984)",1.0,6.333333333333333
381,"{'center': (286.6073760986328, 238.86992645263672), 'axes': (84.05364227294922, 102.57228088378906), 'angle': 0.31788149476050565}",102.57228088378906,"(286.6073760986328, 238.86992645263672)",1.0,6.35
382,"{'center': (288.25927734375, 238.82154083251953), 'axes': (86.20451354980469, 102.82403564453125), 'angle': 0.7627488970756441}",102.82403564453125,"(288.25927734375, 238.82154083251953)",1.0,6.366666666666666
383,"{'center': (289.97997283935547, 238.79550170898438), 'axes': (88.11967468261719, 103.2119140625), 'angle': 0.6437208056449948}",103.2119140625,"(289.97997283935547, 238.79550170898438)",1.0,6.383333333333334
384,"{'center': (291.62740325927734, 238.7515640258789), 'axes': (89.93413543701172, 103.44905090332031), 'angle': 0.8279326558113075}",103.44905090332031,"(291.62740325927734, 238.7515640258789)",1.0,6.4
385,"{'center': (293.42391204833984, 238.77447509765625), 'axes': (91.86824798583984, 103.66604614257812), 'angle': 1.0087757110595632}",103.66604614257812,"(293.42391204833984, 238.77447509765625)",1.0,6.416666666666667
386,"{'center': (295.14170837402344, 238.7472381591797), 'axes': (93.59893035888672, 103.89522552490234), 'angle': 1.0790816545486392}",103.89522552490234,"(295.14170837402344, 238.7472381591797)",1.0,6.433333333333334
387,"{'center': (296.9076232910156, 238.78985595703125), 'axes': (95.21641540527344, 103.98738098144531), 'angle': 1.1931804418563807}",103.98738098144531,"(296.9076232910156, 238.78985595703125)",1.0,6.45
388,"{'center': (298.6960983276367, 238.82942962646484), 'axes': (96.66130828857422, 104.22396850585938), 'angle': 0.9560905694961472}",104.22396850585938,"(298.6960983276367, 238.82942962646484)",1.0,6.466666666666667
389,"{'center': (300.53443908691406, 238.7728271484375), 'axes': (98.15152740478516, 104.39263916015625), 'angle': 1.0189410448074334}",104.39263916015625,"(300.53443908691406, 238.7728271484375)",1.0,6.483333333333333
390,"{'center': (302.39161682128906, 238.81671905517578), 'axes': (99.37400817871094, 104.51787567138672), 'angle': 2.5941498279571555}",104.51787567138672,"(302.39161682128906, 238.81671905517578)",1.0,6.5
391,"{'center': (304.2007522583008, 238.82245635986328), 'axes': (100.63257598876953, 104.69799041748047), 'angle': 2.925955057144157}",104.69799041748047,"(304.2007522583008, 238.82245635986328)",1.0,6.516666666666667
392,"{'center': (306.08827209472656, 238.82169342041016), 'axes': (101.60540008544922, 104.72013092041016), 'angle': 3.3021452426910436}",104.72013092041016,"(306.08827209472656, 238.82169342041016)",1.0,6.533333333333333
393,"{'center': (307.9564514160156, 238.83656311035156), 'axes': (102.55964660644531, 104.82630920410156), 'angle': 3.9302978515625075}",104.82630920410156,"(307.9564514160156, 238.83656311035156)",1.0,6.55
394,"{'center': (309.85839080810547, 238.77079010009766), 'axes': (103.19853973388672, 105.00209045410156), 'angle': 5.758155345916751}",105.00209045410156,"(309.85839080810547, 238.77079010009766)",1.0,6.566666666666666
395,"{'center': (311.74744415283203, 238.75360870361328), 'axes': (103.87738037109375, 104.9649429321289), 'angle': 5.410621166229252}",104.9649429321289,"(311.74744415283203, 238.75360870361328)",1.0,6.583333333333333
396,"{'center': (313.6917724609375, 238.76397705078125), 'axes': (104.34566497802734, 105.13569641113281), 'angle': 11.398898124694815}",105.13569641113281,"(313.6917724609375, 238.76397705078125)",1.0,6.6
397,"{'center': (315.57576751708984, 238.75118255615234), 'axes': (104.80034637451172, 105.18822479248047), 'angle': 21.243291854858395}",105.18822479248047,"(315.57576751708984, 238.75118255615234)",1.0,6.616666666666666
398,"{'center': (317.53858184814453, 238.7647933959961), 'axes': (104.91825866699219, 105.24690246582031), 'angle': 36.52643203735351}",105.24690246582031,"(317.53858184814453, 238.7647933959961)",1.0,6.633333333333334
399,"{'center': (319.37750244140625, 238.7117156982422), 'axes': (104.9688720703125, 105.1399154663086), 'angle': 56.82607269287109}",105.1399154663086,"(319.37750244140625, 238.7117156982422)",1.0,6.65
400,"{'center': (319.4538116455078, 238.13563537597656), 'axes': (104.92581939697266, 105.24364471435547), 'angle': 40.969280242919915}",105.24364471435547,"(319.4538116455078, 238.13563537597656)",1.0,6.666666666666667
401,"{'center': (319.4128875732422, 237.47891998291016), 'axes': (105.00548553466797, 105.29154205322266), 'angle': 42.73885345458984}",105.29154205322266,"(319.4128875732422, 237.47891998291016)",1.0,6.683333333333334
402,"{'center': (319.4265670776367, 236.86019897460938), 'axes': (104.8721923828125, 105.18352508544922), 'angle': 62.455230712890625}",105.18352508544922,"(319.4265670776367, 236.86019897460938)",1.0,6.7
403,"{'center': (319.4078598022461, 236.25310516357422), 'axes': (104.9051284790039, 105.16576385498047), 'angle': 52.516571044921875}",105.16576385498047,"(319.4078598022461, 236.25310516357422)",1.0,6.716666666666667
404,"{'center': (319.4287338256836, 235.59058380126953), 'axes': (104.85814666748047, 105.25537872314453), 'angle': 58.269451141357415}",105.25537872314453,"(319.4287338256836, 235.59058380126953)",1.0,6.733333333333333
405,"{'center': (319.45350646972656, 234.9520034790039), 'axes': (104.72504425048828, 105.12889099121094), 'angle': 67.96276855468749}",105.12889099121094,"(319.45350646972656, 234.9520034790039)",1.0,6.75
406,"{'center': (319.4144821166992, 234.30953979492188), 'axes': (104.71737670898438, 105.11467742919922), 'angle': 62.472980499267585}",105.11467742919922,"(319.4144821166992, 234.30953979492188)",1.0,6.766666666666667
407,"{'center': (319.415283203125, 233.74365997314453), 'axes': (104.5837173461914, 105.07582092285156), 'angle': 69.29322814941408}",105.07582092285156,"(319.415283203125, 233.74365997314453)",1.0,6.783333333333333
